ID,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,
38,2023-02-09,Pro League,Matchweek 16,Away,Al-Nassr,Al-Wehda,Y*,,,,,40,,,Sami Al-Najei,,,,,
39,2023-02-09,Pro League,Matchweek 16,Away,Al-Nassr,Al-Wehda,Y*,,,,,21,,,Abdulrahman Ghareeb,,,,,
40,2023-02-03,Pro League,Matchweek 15,Away,Al-Nassr,Al-Fateh,Y*,,,,,90+3,,,,,,,,
41,2022-11-24,World Cup,Group stage,Neutral,Portugal,Ghana,Y*,0.79,0.98,Right Foot,13,65,0-0,Lawrence Ati-Zigi,,Cristiano Ronaldo,Fouled,Raphaël Guerreiro,Pass (Live),
42,2022-10-27,Europa Lg,Group stage,Home,Manchester Utd,Sheriff Tiraspol,Y,0.43,0.96,Left Foot,3,81,2-0,Maksym Koval,,Cristiano Ronaldo,Shot,,,
43,2022-10-09,Premier League,Matchweek 10,Away,Manchester Utd,Everton,N,0.21,0.35,Left Foot,15,44,1-1,Jordan Pickford,Casemiro,Casemiro,Pass (Live),,,
44,2022-09-15,Europa Lg,Group stage,Away,Manchester Utd,Sheriff Tiraspol,Y,0.79,0.84,Right Foot,13,39,1-0,Maksym Koval,,Diogo Dalot,Fouled,Diogo Dalot,Pass (Live),
45,2022-06-05,UEFA Nations League,League A,Home,Portugal,Switzerland,Y*,,,,,39,2-0,Gregor Kobel,Diogo Jota,,,,,
46,2022-06-05,UEFA Nations League,League A,Home,Portugal,Switzerland,Y*,,,,,35,1-0,Gregor Kobel,Diogo Jota,,,,,
47,2022-05-02,Premier League,Matchweek 35,Home,Manchester Utd,Brentford,Y,0.79,0.98,Right Foot,13,61,1-0,David Raya,,Cristiano Ronaldo,Fouled,Diogo Dalot,Pass (Live),
48,2022-04-28,Premier League,Matchweek 37,Home,Manchester Utd,Chelsea,Y,0.29,0.32,Right Foot,10,62,0-1,Edouard Mendy,Nemanja Matić,Nemanja Matić,Pass (Live),Victor Lindelöf,Interception,Volley
49,2022-04-23,Premier League,Matchweek 34,Away,Manchester Utd,Arsenal,Y,0.45,0.74,Left Foot,7,34,0-2,Aaron Ramsdale,Nemanja Matić,Nemanja Matić,Pass (Live),Jadon Sancho,Pass (Live),
50,2022-04-16,Premier League,Matchweek 33,Home,Manchester Utd,Norwich City,Y,0.03,0.47,Right Foot,32,76,2-2,Tim Krul,,Anthony Elanga,Fouled,Anthony Elanga,Take-On,
51,2022-04-16,Premier League,Matchweek 33,Home,Manchester Utd,Norwich City,Y,0.09,0.11,Head,7,32,1-0,Tim Krul,Alex Telles,Alex Telles,Pass (Dead),Jesse Lingard,Shot,
52,2022-04-16,Premier League,Matchweek 33,Home,Manchester Utd,Norwich City,Y,0.76,0.25,Right Foot,10,7,0-0,Tim Krul,Anthony Elanga,Anthony Elanga,Pass (Live),Anthony Elanga,Tackle,
